123456, CS101, Fall2023, 85
123456, MATH150, Fall2023, 78
123456, ENG101, Fall2023, 92
123456, CS201, Spring2024, 88
234567, CS101, Fall2023, 72
234567, MATH150, Fall2023, 68
234567, CS201, Spring2024, 75
345678, CS501, Fall2023, 88
345678, CS601, Spring2024, 92
456789, CS501, Fall2023, 82
456789, CS601, Spring2024, 85
567890, CS101, Fall2023, 95
567890, CS201, Spring2024, 90
567890, MATH150, Fall2023, 87
678901, CS101, Fall2023, 88
678901, CS201, Spring2024, 91
678901, PHYS201, Spring2024, 85
789012, CS501, Fall2023, 78
789012, CS601, Spring2024, 88
890123, CS101, Fall2023, 65
890123, ENG101, Fall2023, 70
123456, CS301, Spring2024, 88
123456, CS401, Spring2024, 55
